Date,Close,High,Low,Open,Volume,CPI,real_close,r1,abs_r1,r1_2,r1_norm
2000-01-04,1399.4200439453125,1455.219970703125,1397.4300537109375,1455.219970703125,1009000000,169.3,8.265918747461976,-0.03909917534093802,0.03909917534093802,0.0015287455123414158,-3.215083720566473
2000-01-05,1402.1099853515625,1413.27001953125,1377.6800537109375,1399.4200439453125,1085500000,169.3,8.28180735588637,0.0019203379615859075,0.0019203379615859075,3.6876978867079184e-06,0.1461639224934081
2000-01-06,1403.449951171875,1411.9000244140625,1392.0999755859375,1402.1099853515625,1092300000,169.3,8.289722097884672,0.0009552217400569889,0.0009552217400569889,9.124485726775017e-07,0.06707974124122994
2000-01-07,1441.469970703125,1441.469970703125,1400.72998046875,1403.449951171875,1225200000,169.3,8.514293979345096,0.026729949729870413,0.026729949729870413,0.0007144902125613994,2.179129269165279
2000-01-10,1457.5999755859375,1464.3599853515625,1441.469970703125,1441.469970703125,1064800000,169.3,8.609568668552495,0.011127824873139451,0.011127824873139451,0.00012382848640726105,0.9006498046567096
2000-01-11,1438.56005859375,1458.6600341796875,1434.4200439453125,1457.5999755859375,1014000000,169.3,8.497106075568517,-0.013148576788902702,0.013148576788902702,0.0001728850715736709,-1.0886228926254733
2000-01-12,1432.25,1442.5999755859375,1427.0799560546875,1438.56005859375,974600000,169.3,8.459834613112816,-0.004396019678609826,0.004396019678609826,1.9324989014724833e-05,-0.371415164178126
2000-01-13,1449.6800537109375,1454.199951171875,1432.25,1432.25,1030400000,169.3,8.56278826763696,0.012096245165416932,0.012096245165416932,0.0001463191471018725,0.9800047302235314
2000-01-14,1465.1500244140625,1473.0,1449.6800537109375,1449.6800537109375,1085900000,169.3,8.654164349758195,0.010614763497340866,0.010614763497340866,0.00011267320410448009,0.8586081956442022
2000-01-18,1455.1400146484375,1465.1500244140625,1451.300048828125,1465.1500244140625,1056700000,169.3,8.595038479908077,-0.006855516976735253,0.006855516976735253,4.6998113018305265e-05,-0.572952891733942
2000-01-19,1455.9000244140625,1461.3900146484375,1448.6800537109375,1455.1400146484375,1087800000,169.3,8.599527610242543,0.0005221568736222691,0.0005221568736222691,2.726478006709823e-07,0.03159325823836654
2000-01-20,1445.5699462890625,1465.7099609375,1438.5400390625,1455.9000244140625,1100700000,169.3,8.53851120076233,-0.007120612569861399,0.007120612569861399,5.0703123370068155e-05,-0.5946755272759389
2000-01-21,1441.3599853515625,1453.1800537109375,1439.5999755859375,1445.5699462890625,1209800000,169.3,8.513644331669004,-0.002916568133953469,0.002916568133953469,8.506369679992821e-06,-0.2501849832926911
2000-01-24,1401.530029296875,1454.0899658203125,1395.4200439453125,1441.3599853515625,1115800000,169.3,8.278381744222534,-0.028022584228459112,0.028022584228459112,0.0007852652268410854,-2.3074384860807937
2000-01-25,1410.030029296875,1414.260009765625,1388.489990234375,1401.530029296875,1073700000,169.3,8.328588477831511,0.006046483603040326,0.006046483603040326,3.6559963961835525e-05,0.4842712327868022
2000-01-26,1404.0899658203125,1412.72998046875,1400.1600341796875,1410.030029296875,1117300000,169.3,8.293502456115254,-0.004221619766667435,0.004221619766667435,1.7822073454317207e-05,-0.3571243731430665
2000-01-27,1398.56005859375,1418.8599853515625,1370.989990234375,1404.0899658203125,1129500000,169.3,8.260839093879207,-0.003946204024482711,0.003946204024482711,1.5572526202843545e-05,-0.33455607723344566
2000-01-28,1360.1600341796875,1398.56005859375,1356.199951171875,1398.56005859375,1095800000,169.3,8.03402264725155,-0.027840812729732965,0.027840812729732965,0.000775110853452061,-2.292543647686133
2000-01-31,1394.4599609375,1394.47998046875,1350.1400146484375,1360.1600341796875,993800000,169.3,8.236621151432368,0.024904850529124428,0.024904850529124428,0.0006202515798780293,2.0295758031937448
2000-02-01,1409.280029296875,1412.489990234375,1384.7900390625,1394.4599609375,981000000,170.0,8.289882525275734,0.00644559300423452,0.00644559300423452,4.154566917623699e-05,0.5169753149682084
2000-02-02,1409.1199951171875,1420.6099853515625,1403.489990234375,1409.280029296875,1038600000,170.0,8.288941147748162,-0.0001135638507473192,0.0001135638507473192,1.2896748196559392e-08,-0.020499382907137265
2000-02-03,1424.969970703125,1425.780029296875,1398.52001953125,1409.1199951171875,1146500000,170.0,8.382176298253677,0.011185347697919614,0.011185347697919614,0.0001251120031233556,0.9053633773846087
2000-02-04,1424.3699951171875,1435.9100341796875,1420.6300048828125,1424.969970703125,1045100000,170.0,8.378647030101103,-0.0004211330357220191,0.0004211330357220191,1.7735303377644342e-07,-0.04570241714232035
2000-02-07,1424.239990234375,1427.1500244140625,1413.3299560546875,1424.3699951171875,918100000,170.0,8.377882295496324,-9.12760143166444e-05,9.12760143166444e-05,8.331310789532273e-09,-0.018673058515645758
2000-02-08,1441.719970703125,1441.8299560546875,1424.239990234375,1424.239990234375,1047700000,170.0,8.480705710018382,0.01219849367259354,0.01219849367259354,0.0001488032478803046,0.9883832439133224
2000-02-09,1411.7099609375,1444.550048828125,1411.6500244140625,1441.719970703125,1050500000,170.0,8.304176240808824,-0.02103511705975112,0.02103511705975112,0.0004424761497174326,-1.734866905853563
2000-02-10,1416.8299560546875,1422.0999755859375,1406.4300537109375,1411.699951171875,1058800000,170.0,8.334293859145221,0.00362024285277645,0.00362024285277645,1.3106158313078968e-05,0.2854586349099155
2000-02-11,1387.1199951171875,1416.8299560546875,1378.8900146484375,1416.8299560546875,1025700000,170.0,8.15952938304228,-0.02119229898918975,0.02119229898918975,0.0004491135364472129,-1.7477468097656528
