Date,Close,High,Low,Open,Volume,CPI,real_close
2000-01-03,5.169803619384766,5.199860984078598,5.091655792044963,5.1096896238105245,3431200,169.3,0.030536347426962582
2000-01-04,5.1036810874938965,5.217897368044194,5.091658282498402,5.13373773307574,5997600,169.3,0.030145783151174815
2000-01-05,5.09165620803833,5.211884209009559,5.061598840888781,5.109690041277273,10562400,169.3,0.030074756101821202
2000-01-06,5.278010845184326,5.3381248639221885,5.085645985223167,5.097668788970739,15300000,169.3,0.031175492292878474
2000-01-07,5.897184371948242,5.915218206891746,5.470374561251513,5.530488567419112,16160800,169.3,0.03483274880063935
2000-01-10,5.794990539550781,5.951286964891362,5.7529110996351145,5.945275930823522,9336000,169.3,0.034229123092444066
2000-01-11,5.80701208114624,5.897183443101813,5.64470465696502,5.67476128840792,9988000,169.3,0.03430013042614436
2000-01-12,5.752910614013672,5.867126855983635,5.722853244770923,5.758921647574101,6378400,169.3,0.03398057066753497
2000-01-13,5.933251857757568,5.957297456504684,5.7529098671542,5.782966498681375,6981600,169.3,0.03504578770087163
2000-01-14,5.927239894866943,6.0414568520398495,5.915217095891554,5.963308291793112,9292800,169.3,0.035010276992716735
2000-01-18,5.674762725830078,5.867127563993809,5.602625911518679,5.79499074968241,5514400,169.3,0.03351897652587169
2000-01-19,5.722853183746338,5.813024556699524,5.62667077729682,5.62667077729682,7730400,169.3,0.03380303120936998
2000-01-20,5.867127418518066,5.867127418518066,5.626671376775523,5.72285379347254,8457600,169.3,0.03465521215899626
2000-01-21,5.61464786529541,5.867126677225182,5.5545338624549885,5.867126677225182,12880800,169.3,0.0331638976095417
2000-01-24,5.308067798614502,5.584592262780474,5.247953784665378,5.5184664805296135,9503200,169.3,0.03135302893452157
2000-01-25,5.308067798614502,5.4042502209331005,5.247953784665378,5.33812443868224,8416000,169.3,0.03135302893452157
2000-01-26,5.296043395996094,5.4162713875758755,5.241940432878479,5.241940432878479,8797600,169.3,0.03128200470168986
2000-01-27,5.211884498596191,5.320089705482477,5.181827129776573,5.296044103952192,9053600,169.3,0.03078490548491548
2000-01-28,5.06159782409668,5.253962587007718,5.0255294310508605,5.0255294310508605,12754400,169.3,0.0298972110106124
2000-01-31,5.0976691246032715,5.314079606308127,5.055589675623093,5.061600710985795,4790400,169.3,0.030110272443019913
2000-02-01,5.235930919647217,5.3321133408227,5.109691124947576,5.145759532888381,3984000,170.0,0.03079959364498363
2000-02-02,5.374190807342529,5.434304798476115,5.278008421528793,5.278008421528793,6660000,170.0,0.031612887102014875
2000-02-03,5.326101779937744,5.386215795512663,5.296045139057119,5.326101779937744,13720800,170.0,0.031330010470222026
2000-02-04,5.458349704742432,5.46436147000231,5.350144534384102,5.350144534384102,7199200,170.0,0.032107939439661365
2000-02-07,5.596613883972168,5.62667051769413,5.368180679193987,5.386214512664466,11616800,170.0,0.03292125814101275
2000-02-08,5.386216640472412,5.494421885481902,5.362171030470303,5.386216640472412,8325600,170.0,0.03168362729689654
2000-02-09,5.187841415405273,5.452343160635779,5.169806838596254,5.43430858382676,7526400,170.0,0.030516714208266314
2000-02-10,5.56655740737915,5.813025218889136,5.4884095601434835,5.56655740737915,20888000,170.0,0.03274445533752442
2000-02-11,5.386216640472412,5.686786765498774,5.374193835471357,5.494421885481902,18896000,170.0,0.03168362729689654
2000-02-14,5.470373153686523,5.530487144386376,5.422281961126642,5.446327557406583,7276000,170.0,0.03217866560992073
2000-02-15,5.710830211639404,5.90920678589784,5.602625007629395,5.614647808074951,16885600,170.0,0.033593118891996496
2000-02-16,5.897184371948242,6.011400616759905,5.704819552211926,5.740887955912485,16412800,170.0,0.03468931983498966
2000-02-17,6.047470569610596,6.221801965967782,5.951288135103867,5.963310939417208,12419200,170.0,0.035573356291827035
2000-02-18,5.56655740737915,6.011401087882452,5.506443396500326,5.975332681355157,15170400,170.0,0.03274445533752442
2000-02-22,5.656728267669678,5.734876107680992,5.548523058090791,5.578579693844822,5828800,170.0,0.03327487216276281
2000-02-23,5.506443977355957,5.626672011796043,5.470375567023931,5.602626404908026,9806400,170.0,0.03239084692562327
2000-02-24,5.06159782409668,5.4583501476006955,4.995472803752678,5.4463273499187554,13012000,170.0,0.029774104847627526
2000-02-25,4.929349422454834,5.08564586755706,4.863224370279967,5.061600260618257,9658400,170.0,0.02899617307326373
2000-02-28,4.947382926940918,5.043565333940367,4.85721155347217,4.905302756971895,8533600,170.0,0.029102252511417164
2000-02-29,4.9173264503479,4.995475037125787,4.905303647290816,4.923338218783275,7711200,170.0,0.028925449707928826
2000-03-01,5.253965377807617,5.326102202216875,4.791087788088408,4.917326863897746,12564800,171.0,0.030724943729869107
2000-03-02,5.049577236175537,5.290033295041039,5.001486024402437,5.265987689154489,7538400,171.0,0.029529691439623026
2000-03-03,5.235930919647217,5.320090538175765,5.007497669355443,5.04356607729625,3794400,171.0,0.030619479062264424
2000-03-06,5.049577236175537,5.223908245759854,5.025531630288987,5.223908245759854,4090400,171.0,0.029529691439623026
2000-03-07,4.712937831878662,4.965416644300733,4.700915031287135,4.953393843709206,8610400,171.0,0.027561039952506795
2000-03-08,4.580687522888184,4.755018517306472,4.46045950391474,4.700915541861626,10363200,171.0,0.026787646332679438
2000-03-09,4.718950271606445,4.773052515071989,4.532596468972645,4.580687678192514,6700000,171.0,0.027596200418751143
2000-03-10,4.893279552459717,4.90530235234291,4.670858121527374,4.712937554211816,6710400,171.0,0.028615669897425245
2000-03-13,4.815131664276123,4.857211096472496,4.712937499547571,4.712937499547571,6282400,171.0,0.02815866470336914
2000-03-14,4.815131664276123,4.851200063507354,4.718949266326173,4.797097097753777,3949600,171.0,0.02815866470336914
2000-03-15,4.947382926940918,4.977439562221481,4.761029146472721,4.779063714691882,12876000,171.0,0.028932063900239287
2000-03-16,5.0135087966918945,5.11570298799172,4.785075542166364,4.869235162254718,11164000,171.0,0.029318764892935056
2000-03-17,4.965418338775635,5.193851627968702,4.923338889252214,5.097669190413727,9671200,171.0,0.029037534144886752
2000-03-20,5.0976691246032715,5.133737538220747,4.971430043848982,4.989463883750843,5468800,171.0,0.029810930553235505
2000-03-21,5.193852424621582,5.22992084423701,5.097669972313775,5.097669972313775,4168800,171.0,0.030373405991939075
2000-03-22,5.09165620803833,5.284021009592298,5.001484840403166,5.169804041762888,5897600,171.0,0.029775767298469768
2000-03-23,5.253965377807617,5.253965377807617,5.025532100511634,5.049577708648052,6003200,171.0,0.030724943729869107
2000-03-24,5.524479866027832,5.536502672337127,5.23593251460476,5.247955320914055,8687200,171.0,0.03230689980133235
2000-03-27,5.36216926574707,5.470374475145554,5.3261008626142425,5.464363441530185,4664800,171.0,0.03135771500436883
2000-03-28,5.326101779937744,5.404250367091971,5.284022335942135,5.290033370592794,3800800,171.0,0.03114679403472365
2000-03-29,5.35615873336792,5.38020433770669,5.241941745851956,5.33211312902915,3594400,171.0,0.03132256569221006
