r1_norm,r5_norm,r20_norm
-0.6711824768199909,2.395875127969108,-0.025418707157522955
-0.14484186123935486,-0.5080925409377248,-0.15600298847843724
1.7727904007724775,-1.4931534180449928,0.10124801076574105
5.526430063727484,-0.44027288748531507,2.0905140583983086
-0.9018951983745985,0.5506373042947137,1.423221321857034
0.07699462810889113,1.2001547205072487,0.3060361546832794
-0.495344391095012,-0.8407806653375488,0.1949087531906135
1.518493968793677,-1.1922822595749987,1.1681845294712354
-0.07750230121578648,-3.0046895289222793,0.1297582179167243
-2.2059510768483226,1.5974915619318113,1.3284114544642414
0.3957110599297686,0.5602194381770963,0.5529567248679121
1.219680081055066,1.0308631131315602,0.3388789950035052
-2.2287979262242663,1.5696202652876363,-1.216647776174816
-2.8377894634661267,2.5928180491354493,0.8790264241020909
-0.026750301941943652,-1.0912478810163546,-0.17817672745959448
-0.1402850877842655,0.7173731640789976,-0.09083448260182204
-0.8286716255408482,-1.6309511868283015,-0.17755719551517243
-1.4915333361989374,2.148630222443604,-0.44189794738246607
0.3287506565123957,2.3807998758632762,0.7135382858539928
1.1064118393718354,-0.3190930033783942,0.31824726365976
1.278037654914484,-0.6616850272236579,0.5486286508548494
-0.4767298621990469,0.526463180157228,-0.04340292601583734
1.2011188770025594,0.9818686786657309,-0.6633802225274591
1.2255674367087042,-0.2916728570994381,0.8816737874910466
-1.9450586709158613,1.4677641300233801,-0.29954029755722356
-1.9053585444641572,0.28360896871539115,0.5168479960414106
3.500584209725258,-0.1654027864091172,-0.6855984050796067
-1.6754765710869253,-1.232366392089342,0.5727736291234571
0.7493940940893059,-0.18847236172193252,1.3560236848648493
2.126802230482022,1.4940330944624696,0.2502160286606839
1.5807756184356512,1.2606382775351812,-0.018300085779810096
1.2330680464509882,-0.44895630026246147,-0.28649323418294054
-4.175065230022708,-0.4860303819387153,-0.09083975682566264
0.7776923016892954,0.8508790072806026,-0.10315569464389465
-1.3747559771279323,-0.7370939657092807,0.8730151139571196
-4.243827394314889,0.6077922679405269,-1.0285736993309533
-1.3521554564158298,0.6430254486637567,-1.3543229566340655
0.1560626041321801,1.5756761462701827,-0.13161705128538692
-0.33181688655034147,0.05694132920780513,-0.4854276031374932
2.9946510291495443,0.13194135911357108,0.6355492066345368
-2.0131453307738743,-0.09528379757924928,0.7153915451970014
1.7875086684717645,0.4897098189453007,0.12925440446865105
-1.8410092723556577,-0.21773108750975173,0.31525610905795415
-3.4806918122542023,0.8257151180466751,0.6875846726478789
-1.4516371375295778,0.30683428557834147,-0.48951890461775666
1.4619616591337317,0.4947292544497403,-0.47287982592382577
1.7893228505636802,-0.19788093840955145,0.4031165732190243
-0.8327186487081348,0.010804728259827697,-0.01093846601557097
-0.026750301941943652,-0.10305411020211076,0.20192290780863467
1.3297010495945956,1.203753471763333,0.4281331277902571
0.6379395993917154,-3.346767774176687,0.42735080003825904
-0.509273220106813,0.041840411198704214,0.3204669391045588
1.2891759217434613,0.3840834414232354,-0.13153667311817344
0.9090264538234764,1.2418757272323024,0.6404881988783857
-1.0216123409301758,1.1887137942500583,-0.8351172062911301
