Date,Close,High,Low,Open,Volume
2000-01-03,5.169803619384766,5.199860984078598,5.091655792044963,5.1096896238105245,3431200
2000-01-04,5.1036810874938965,5.217897368044194,5.091658282498402,5.13373773307574,5997600
2000-01-05,5.09165620803833,5.211884209009559,5.061598840888781,5.109690041277273,10562400
2000-01-06,5.278010845184326,5.3381248639221885,5.085645985223167,5.097668788970739,15300000
2000-01-07,5.897184371948242,5.915218206891746,5.470374561251513,5.530488567419112,16160800
2000-01-10,5.794990539550781,5.951286964891362,5.7529110996351145,5.945275930823522,9336000
2000-01-11,5.80701208114624,5.897183443101813,5.64470465696502,5.67476128840792,9988000
2000-01-12,5.752910614013672,5.867126855983635,5.722853244770923,5.758921647574101,6378400
2000-01-13,5.933251857757568,5.957297456504684,5.7529098671542,5.782966498681375,6981600
2000-01-14,5.927239894866943,6.0414568520398495,5.915217095891554,5.963308291793112,9292800
2000-01-18,5.674762725830078,5.867127563993809,5.602625911518679,5.79499074968241,5514400
2000-01-19,5.722853183746338,5.813024556699524,5.62667077729682,5.62667077729682,7730400
2000-01-20,5.867127418518066,5.867127418518066,5.626671376775523,5.72285379347254,8457600
2000-01-21,5.61464786529541,5.867126677225182,5.5545338624549885,5.867126677225182,12880800
2000-01-24,5.308067798614502,5.584592262780474,5.247953784665378,5.5184664805296135,9503200
2000-01-25,5.308067798614502,5.4042502209331005,5.247953784665378,5.33812443868224,8416000
2000-01-26,5.296043395996094,5.4162713875758755,5.241940432878479,5.241940432878479,8797600
2000-01-27,5.211884498596191,5.320089705482477,5.181827129776573,5.296044103952192,9053600
2000-01-28,5.06159782409668,5.253962587007718,5.0255294310508605,5.0255294310508605,12754400
2000-01-31,5.0976691246032715,5.314079606308127,5.055589675623093,5.061600710985795,4790400
2000-02-01,5.235930919647217,5.3321133408227,5.109691124947576,5.145759532888381,3984000
2000-02-02,5.374190807342529,5.434304798476115,5.278008421528793,5.278008421528793,6660000
2000-02-03,5.326101779937744,5.386215795512663,5.296045139057119,5.326101779937744,13720800
2000-02-04,5.458349704742432,5.46436147000231,5.350144534384102,5.350144534384102,7199200
2000-02-07,5.596613883972168,5.62667051769413,5.368180679193987,5.386214512664466,11616800
2000-02-08,5.386216640472412,5.494421885481902,5.362171030470303,5.386216640472412,8325600
2000-02-09,5.187841415405273,5.452343160635779,5.169806838596254,5.43430858382676,7526400
2000-02-10,5.56655740737915,5.813025218889136,5.4884095601434835,5.56655740737915,20888000
2000-02-11,5.386216640472412,5.686786765498774,5.374193835471357,5.494421885481902,18896000
2000-02-14,5.470373153686523,5.530487144386376,5.422281961126642,5.446327557406583,7276000
2000-02-15,5.710830211639404,5.90920678589784,5.602625007629395,5.614647808074951,16885600
2000-02-16,5.897184371948242,6.011400616759905,5.704819552211926,5.740887955912485,16412800
2000-02-17,6.047470569610596,6.221801965967782,5.951288135103867,5.963310939417208,12419200
2000-02-18,5.56655740737915,6.011401087882452,5.506443396500326,5.975332681355157,15170400
2000-02-22,5.656728267669678,5.734876107680992,5.548523058090791,5.578579693844822,5828800
2000-02-23,5.506443977355957,5.626672011796043,5.470375567023931,5.602626404908026,9806400
2000-02-24,5.06159782409668,5.4583501476006955,4.995472803752678,5.4463273499187554,13012000
2000-02-25,4.929349422454834,5.08564586755706,4.863224370279967,5.061600260618257,9658400
2000-02-28,4.947382926940918,5.043565333940367,4.85721155347217,4.905302756971895,8533600
2000-02-29,4.9173264503479,4.995475037125787,4.905303647290816,4.923338218783275,7711200
2000-03-01,5.253965377807617,5.326102202216875,4.791087788088408,4.917326863897746,12564800
2000-03-02,5.049577236175537,5.290033295041039,5.001486024402437,5.265987689154489,7538400
2000-03-03,5.235930919647217,5.320090538175765,5.007497669355443,5.04356607729625,3794400
2000-03-06,5.049577236175537,5.223908245759854,5.025531630288987,5.223908245759854,4090400
2000-03-07,4.712937831878662,4.965416644300733,4.700915031287135,4.953393843709206,8610400
2000-03-08,4.580687522888184,4.755018517306472,4.46045950391474,4.700915541861626,10363200
2000-03-09,4.718950271606445,4.773052515071989,4.532596468972645,4.580687678192514,6700000
2000-03-10,4.893279552459717,4.90530235234291,4.670858121527374,4.712937554211816,6710400
2000-03-13,4.815131664276123,4.857211096472496,4.712937499547571,4.712937499547571,6282400
2000-03-14,4.815131664276123,4.851200063507354,4.718949266326173,4.797097097753777,3949600
2000-03-15,4.947382926940918,4.977439562221481,4.761029146472721,4.779063714691882,12876000
2000-03-16,5.0135087966918945,5.11570298799172,4.785075542166364,4.869235162254718,11164000
2000-03-17,4.965418338775635,5.193851627968702,4.923338889252214,5.097669190413727,9671200
2000-03-20,5.0976691246032715,5.133737538220747,4.971430043848982,4.989463883750843,5468800
2000-03-21,5.193852424621582,5.22992084423701,5.097669972313775,5.097669972313775,4168800
2000-03-22,5.09165620803833,5.284021009592298,5.001484840403166,5.169804041762888,5897600
2000-03-23,5.253965377807617,5.253965377807617,5.025532100511634,5.049577708648052,6003200
2000-03-24,5.524479866027832,5.536502672337127,5.23593251460476,5.247955320914055,8687200
2000-03-27,5.36216926574707,5.470374475145554,5.3261008626142425,5.464363441530185,4664800
2000-03-28,5.326101779937744,5.404250367091971,5.284022335942135,5.290033370592794,3800800
2000-03-29,5.35615873336792,5.38020433770669,5.241941745851956,5.33211312902915,3594400
2000-03-30,5.509411811828613,5.569558228988314,5.347016852602017,5.353031127213391,5237600
2000-03-31,5.737966537475586,5.7439815445564655,5.431220265784211,5.509410218372785,7032800
2000-04-03,5.972539901733398,6.014642028830597,5.7078956524648525,5.713909927389067,7430400
2000-04-04,5.846232891082764,5.9665257489239725,5.557530032263862,5.9665257489239725,8253600
2000-04-05,5.774056434631348,5.864276433527084,5.683837169944854,5.768042159616561,5006400
2000-04-06,5.936450004577637,5.966522837257712,5.737966518895018,5.768040085784072,5516000
2000-04-07,5.94246768951416,5.9484827000293,5.798116247663613,5.924424126387542,5463200
2000-04-10,6.146963596343994,6.1830514452462095,6.020656492290824,6.026670766669944,7511200
2000-04-11,6.297329902648926,6.297329902648926,5.972538919407073,6.062758167896211,10399200
2000-04-12,6.531900405883789,6.628134666007307,6.231168342997795,6.255226908028675,10133600
2000-04-13,6.387550354003906,6.598063576339504,6.092833237731724,6.561975721232137,13784000
2000-04-14,6.1529765129089355,6.3274006895271855,5.954493044326914,6.3274006895271855,5155200
2000-04-17,6.134933948516846,6.213125017363927,5.942465432484945,6.098846101760865,5120800
2000-04-18,6.243198871612549,6.273272818112838,6.008628182847356,6.062759597866521,4708000
2000-04-19,6.22515344619751,6.327401597112937,6.098845265658287,6.110874546261163,5062400
2000-04-20,6.459726810455322,6.574005765706273,6.104863228009858,6.104863228009858,9542400
2000-04-24,6.682270050048828,6.712342535082575,6.489801446892338,6.495815356531525,5580000
2000-04-25,6.567986965179443,6.6762504865835,6.4958112842434055,6.6762504865835,12896000
2000-04-26,6.477768421173096,6.658207632509143,6.447694485074725,6.592045854143562,8431200
2000-04-27,6.453709125518799,6.592045104264304,6.4356644722288365,6.519869427940241,7212800
2000-04-28,6.417623043060303,6.543929776972874,6.369505912347267,6.543929776972874,5775200
2000-05-01,6.213126182556152,6.39957935821984,6.207110806092927,6.357477596651337,6320800
2000-05-02,6.062758922576904,6.267256743378109,6.0326860807401514,6.255227459801567,12139200
2000-05-03,5.894347667694092,6.026669758193346,5.79811342005827,6.014640477238869,15127200
2000-05-04,6.008626461029053,6.201095331642683,5.966523608781901,6.201095331642683,17708000
2000-05-05,6.068774223327637,6.146964203230846,6.044715655017535,6.104862075792788,11467200
2000-05-08,6.351459503173828,6.375518061897972,6.026668960397894,6.068771805269617,8276000
2000-05-09,6.531900405883789,6.567988253430109,6.255226908028675,6.279285473059554,8402400
2000-05-10,6.580015659332275,6.736396287433408,6.519869263908763,6.567986380247573,10783200
2000-05-11,6.658210754394531,6.7965468137391385,6.616107517799161,6.646181467998533,12660000
2000-05-12,6.868717193603516,6.898791120428797,6.6582055794969754,6.742410518823113,12364000
2000-05-15,7.18148136138916,7.217569207426291,6.92886643912924,6.92886643912924,13902400
2000-05-16,7.277714729309082,7.45815393747377,7.175466578891443,7.45815393747377,12806400
2000-05-17,7.18148136138916,7.289744899500554,7.145393515352028,7.205539925413914,8849600
2000-05-18,7.458158016204834,7.560407690958997,7.187499790148755,7.193513699500792,13567200
2000-05-19,7.349891185760498,7.4521408153525135,7.277715494901966,7.3980083129995196,8583200
2000-05-22,7.343879222869873,7.464172072806983,7.175469232957918,7.398010271132283,7230400
2000-05-23,7.259670257568359,7.379963041716818,7.229596327322357,7.313801276226277,6759200
2000-05-24,7.494240760803223,7.626562828810984,7.361918692795461,7.361918692795461,19460000
2000-05-25,7.367936611175537,7.584463706335365,7.343878045046667,7.5062726322073665,22335200
2000-05-26,7.301772594451904,7.464168600530869,7.235612291973067,7.313801873849683,6431200
2000-05-30,7.307790279388428,7.548375943427251,7.301774903578278,7.373950602789924,7100800
2000-05-31,7.1754679679870605,7.361921118310269,7.169452592341373,7.319819362463733,7738400
2000-06-01,7.313802242279053,7.416051856519899,7.133363042222826,7.163436976441182,9206400
2000-06-02,7.205538272857666,7.343875718482069,7.175465808932808,7.289743227632296,7372800
2000-06-05,7.211555480957031,7.337862211036234,7.187496916330683,7.205540105591318,5560800
2000-06-06,7.061188220977783,7.277715287379146,6.976983250710586,7.19351031711195,8763200
2000-06-07,7.085248947143555,7.187498605038286,7.037131806585704,7.061190376864629,7371200
2000-06-08,7.121337890625,7.229601473421664,7.1032946943683,7.115323981345707,6693600
2000-06-09,7.404024124145508,7.482213726304503,7.133364533277445,7.133364533277445,4442400
2000-06-12,7.689720153808594,7.734829970901722,7.313805011365859,7.404025379761378,11328000
2000-06-13,7.770914077758789,7.987441095405319,7.698738405209946,7.698738405209946,18617600
2000-06-14,7.891209125518799,8.017517322865032,7.722799174669312,7.7709163034834505,8972000
2000-06-15,7.891209125518799,7.999472665350611,7.891209125518799,7.897224500829685,10037600
2000-06-16,7.770914077758789,7.927294701614616,7.722796962726227,7.879177586582054,9452000
2000-06-19,7.6987409591674805,7.879180200397968,7.692727052002283,7.8491077277353725,8903200
2000-06-20,7.716787338256836,7.879181957367304,7.70475805282574,7.722801246763067,5228800
2000-06-21,7.800990581512451,7.84309233684156,7.6385945305128695,7.686711661413738,3891200
2000-06-22,7.734829425811768,7.975415100020532,7.692727667034445,7.7769326530075125,8808800
2000-06-23,7.686710357666016,7.782944603145403,7.64460860947781,7.7468567610906325,5790400
2000-06-26,7.674684524536133,7.843094529776738,7.674684524536133,7.698743096713362,8347200
2000-06-27,7.716787338256836,7.764904479981216,7.626566963314306,7.746859817625258,8472000
2000-06-28,7.940829753875732,8.017517160580134,7.494242661109004,7.734828300309935,8736000
2000-06-29,8.276148796081543,8.564851661061132,7.951358072979506,7.987445931101954,19946400
2000-06-30,8.252087593078613,8.468614672780383,8.240058310872959,8.27614615748992,8524000
